form	lemma	POS	morph
༄༅། །		PUNCT
ན་ཚ་	ན་ཚ་	NOUN
ལམ་	གམ་	PART
དུ་	ལ་	PART
ཁྱེ་	ཁྱེ་	VERB
ཚུལ་	ཚུལ་	NOUN
གསུམ་	གསུམ་	NUM
།		PUNCT
ན་ཚ་	ན་ཚ་	NOUN
ལམ་	གམ་	PART
དུ་	ལ་	PART
ཁྱེར་བ་	ཁྱེར་བ་	VERB
ལ་	ལ་	PART
རབ་	རབ་	ADV
འབྲིང་	འབྲིང་	NOUN
ཐ་	ཐ་	NOUN
གསུམ་	གསུམ་	NUM
སྟེ་	སྟེ་	PART
།		PUNCT
རབ་	རབ་	ADV
ན་ཚ་	ན་ཚ་	NOUN
ཟུག་གཟེར་	ཟུག་གཟེར་	NO_POS
དྲག་པོ་	དྲག་པོ་	ADJ
དེ་	སྟེ་	PART
ཀ་	ཀ་	DET
བཟོ་བཅོས་	བཟོ་བཅོས་	NO_POS
སུ་	ལ་	PART
མ་	མ་	PART
སོང་བ་	སོང་བ་	VERB
ར་	ལ་	PART
རང་	རང་	PRON
ཐོག་	ཐོག་	NOUN
ཏུ་	ལ་	PART
ལྷོད་	ལྷོད་	NO_POS
ན་	ནས་	PART
བཞག་པ་	བཞག་པ་	VERB
ས་	གིས་	PART
ནད་	ནད་	NOUN
ཀྱི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
སྤྲོས་བྲལ་	སྤྲོས་བྲལ་	ADJ
དུ་	ལ་	PART
ཤར་བ་	ཤར་བ་	VERB
འོ་	གོ་	PART
"།
།"		PUNCT
འབྲིང་	འབྲིང་	NOUN
ན་ཚ་	ན་ཚ་	NOUN
ཟུག་གཟེར་	ཟུག་གཟེར་	NO_POS
དྲག་པོ་	དྲག་པོ་	ADJ
དེ་	སྟེ་	PART
ཀ་	ཀ་	DET
འི་	གི་	PART
ཐོག་	ཐོག་	NOUN
ཏུ་	ལ་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀྱི་	གི་	PART
ནད་གདོན་	ནད་གདོན་	OTHER
བསྡུ་	བསྡུ་	VERB
ན་	ནས་	PART
ལམ་	གམ་	PART
དུ་	ལ་	PART
ཁྱེར་བ་	ཁྱེར་བ་	VERB
ས་	གིས་	PART
ཉོན་མོངས་པ་	ཉོན་མོངས་པ་	NOUN
དང་	དང་	NO_POS
མཉམ་	མཉམ་	VERB
དུ་	ལ་	PART
ཆོད་	ཆོད་	VERB
ན་	ནས་	PART
དགེ་སྦྱོར་	དགེ་སྦྱོར་	NOUN
གྱི་	གི་	PART
གྲོག་	གྲོག་	NOUN
སུ་	ལ་	PART
ཤར་བ་	ཤར་བ་	VERB
འོ་	གོ་	PART
"།
།"		PUNCT
ཐ་མ་	ཐ་མ་	ADJ
ས་	གིས་	PART
ན་ཚ་	ན་ཚ་	NOUN
སྔོན་	སྔོན་	ADV
གྱི་	གི་	PART
ལན་ཆགས་	ལན་ཆགས་	NO_POS
སུ་	ལ་	PART
ཤེ་	ཤེ་	VERB
ན་	ནས་	PART
ནད་	ནད་	NOUN
ལ་	ལ་	PART
ཕན་པ་	ཕན་པ་	VERB
འི་	གི་	PART
ཐབས་	ཐབས་	NOUN
མི་	མི་	PART
བྱེད་པ་	བྱེད་པ་	VERB
ར་	ལ་	PART
ཞེ་སྡང་	ཞེ་སྡང་	NOUN
གི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
དུ་	ལ་	PART
མི་	མི་	PART
འཛིན་པ་	འཛིན་པ་	VERB
ས་	གིས་	PART
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
གི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
རུ་	ལ་	PART
ཤེ་	ཤེ་	VERB
ན་	ནས་	PART
སྡིག་སྒྲིབ་	སྡིག་སྒྲིབ་	NOUN
དག་པ་	དག་པ་	VERB
འོ་	གོ་	PART
།།		PUNCT
